"","Estimate","StdErr","t.value","p.value"
"(Intercept)",2.14093898507035,0.490834791273557,4.36183217476354,1.37366085488217e-05
"bio_2",-0.132746071115233,0.0186934760998871,-7.10119778718065,1.86663309556544e-12
"bio_3",0.011945918725057,0.00240086436130468,4.97567414369268,7.21586262579258e-07
"bio_5",0.0577624202225517,0.0147340101681723,3.92034616260326,9.22223739817324e-05
"bio_15",-0.00102416059745967,0.00137758145039267,-0.743448307298083,0.457321401868463
"bio_18",0.000434095420459982,0.00018351470035916,2.36545311961606,0.0181288160549652
"bio_19",0.000168741199923833,0.000172126656119297,0.980331598418335,0.32707330724611
"alt",9.40468503640007e-05,7.5527304564726e-05,1.24520331959422,0.213242602555485
"ai",1.61002476894652e-05,1.12063128806119e-05,1.43671231215757,0.150998740140309
"wind",-0.141278949951025,0.0407679997779186,-3.46543737050222,0.000543602954882171
"srad",-5.40039262014772e-05,1.99710906564769e-05,-2.70410500509961,0.00692272173724316
